facility_id,mortality_measure_count,safety_measure_count,readmission_measure_count,patient_exp_measure_count,timely_effective_measure_count
100361,8,8,11,15,10
100362,8,8,11,15,10
100363,8,8,11,15,10
100364,8,8,11,15,10
100365,,,,,
10057F,8,8,11,15,10
10063F,8,8,11,15,10
10064F,8,8,11,15,10
10065F,8,8,11,15,10
10099F,8,8,11,15,10
101300,8,8,11,15,10
101303,8,8,11,15,10
101304,8,8,11,15,10
101305,8,8,11,15,10
101307,8,8,11,15,10
101308,8,8,11,15,10
101309,8,8,11,15,10
101311,8,8,11,15,10
101312,8,8,11,15,10
101313,8,8,11,15,10
101314,8,8,11,15,10
101315,8,8,11,15,10
103300,,,,,
103301,,,,,
103304,,,,,
104000,,,,,
104001,,,,,
104007,,,,,
104016,,,,,
104017,,,,,
104018,,,,,
104024,,,,,
104026,,,,,
104040,,,,,
104049,,,,,
104057,,,,,
104059,,,,,
104063,,,,,
104067,,,,,
104069,,,,,
104070,,,,,
104071,,,,,
104072,,,,,
104073,,,,,
104074,,,,,
104075,,,,,
104076,,,,,
104078,,,,,
104079,,,,,
104080,,,,,
104081,,,,,
104082,,,,,
104084,,,,,
104085,,,,,
104087,,,,,
110001,8,8,11,15,10
110002,8,8,11,15,10
110003,8,8,11,15,10
110005,8,8,11,15,10
110006,8,8,11,15,10
110007,8,8,11,15,10
110008,8,8,11,15,10
110010,8,8,11,15,10
110011,8,8,11,15,10
110015,8,8,11,15,10
110016,8,8,11,15,10
110018,8,8,11,15,10
110023,8,8,11,15,10
110024,8,8,11,15,10
110025,8,8,11,15,10
110027,8,8,11,15,10
110028,8,8,11,15,10
110029,8,8,11,15,10
110030,8,8,11,15,10
110031,8,8,11,15,10
110032,8,8,11,15,10
110034,8,8,11,15,10
110035,8,8,11,15,10
110036,8,8,11,15,10
110038,8,8,11,15,10
110041,8,8,11,15,10
110042,8,8,11,15,10
110043,8,8,11,15,10
110044,8,8,11,15,10
110045,8,8,11,15,10
110046,8,8,11,15,10
110050,8,8,11,15,10
110051,8,8,11,15,10
110054,8,8,11,15,10
110064,8,8,11,15,10
110069,8,8,11,15,10
110071,8,8,11,15,10
110073,8,8,11,15,10
110074,8,8,11,15,10
110075,8,8,11,15,10
110076,8,8,11,15,10
110078,8,8,11,15,10
110079,8,8,11,15,10
110082,8,8,11,15,10
110083,8,8,11,15,10
110086,8,8,11,15,10
